127.0.0.1, 2018-10-26 14:44:53, GET, /, HTTP/1.1, 200, 0.370865
127.0.0.1, 2018-10-26 14:44:53, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000915
127.0.0.1, 2018-10-26 14:48:44, GET, /, HTTP/1.1, 200, 0.041047
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003584
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005843
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.003563
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.013108
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.004273
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.010009
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003623
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.008090
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004458
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001916
127.0.0.1, 2018-10-26 14:48:44, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.004351
127.0.0.1, 2018-10-26 14:48:47, GET, /init/default/index, HTTP/1.1, 200, 0.033325
127.0.0.1, 2018-10-26 14:48:47, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001005
127.0.0.1, 2018-10-26 14:48:50, GET, /init/default/init/default/index, HTTP/1.1, 404, 0.022330
127.0.0.1, 2018-10-26 14:48:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000384
127.0.0.1, 2018-10-26 14:48:54, GET, /init/default/index, HTTP/1.1, 200, 0.038429
127.0.0.1, 2018-10-26 14:48:54, GET, /, HTTP/1.1, 200, 0.041204
127.0.0.1, 2018-10-26 14:48:55, GET, /init/default/index, HTTP/1.1, 200, 0.036005
127.0.0.1, 2018-10-26 14:48:55, GET, /init/default/index, HTTP/1.1, 200, 0.045758
127.0.0.1, 2018-10-26 14:48:55, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001179
127.0.0.1, 2018-10-26 14:49:07, GET, /init/default/index, HTTP/1.1, 200, 0.038367
127.0.0.1, 2018-10-26 14:49:07, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000645
127.0.0.1, 2018-10-26 14:49:08, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.002041
127.0.0.1, 2018-10-26 14:49:09, GET, /init/default/applications/init/default/index, HTTP/1.1, 404, 0.022536
127.0.0.1, 2018-10-26 14:49:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2018-10-26 14:49:11, GET, /init/default/index, HTTP/1.1, 200, 0.037495
127.0.0.1, 2018-10-26 14:49:17, GET, /init/default/index, HTTP/1.1, 200, 0.037069
127.0.0.1, 2018-10-26 14:49:17, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001039
127.0.0.1, 2018-10-26 14:49:17, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001576
127.0.0.1, 2018-10-26 14:49:18, GET, /init/default/index, HTTP/1.1, 200, 0.033183
127.0.0.1, 2018-10-26 14:49:18, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000650
127.0.0.1, 2018-10-26 14:49:19, GET, /init/default/index, HTTP/1.1, 200, 0.038586
127.0.0.1, 2018-10-26 14:49:19, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000749
127.0.0.1, 2018-10-26 14:49:20, GET, /init/default/index, HTTP/1.1, 200, 0.055014
127.0.0.1, 2018-10-26 14:49:20, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000496
127.0.0.1, 2018-10-26 14:49:21, GET, /init/default/index, HTTP/1.1, 200, 0.033477
127.0.0.1, 2018-10-26 14:49:21, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000499
127.0.0.1, 2018-10-26 14:49:21, GET, /init/default/index, HTTP/1.1, 200, 0.031273
127.0.0.1, 2018-10-26 14:49:21, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000482
127.0.0.1, 2018-10-26 14:49:22, GET, /init/default/index, HTTP/1.1, 200, 0.033275
127.0.0.1, 2018-10-26 14:49:22, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000501
127.0.0.1, 2018-10-26 14:49:28, GET, /init/default/index, HTTP/1.1, 200, 0.034988
127.0.0.1, 2018-10-26 14:49:28, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000498
127.0.0.1, 2018-10-26 14:49:29, GET, /init/default/index, HTTP/1.1, 200, 0.035508
127.0.0.1, 2018-10-26 14:49:29, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000662
127.0.0.1, 2018-10-26 14:49:29, GET, /init/default/index, HTTP/1.1, 200, 0.031913
127.0.0.1, 2018-10-26 14:49:29, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000570
127.0.0.1, 2018-10-26 14:49:32, GET, /init/default/index, HTTP/1.1, 200, 0.037784
127.0.0.1, 2018-10-26 14:49:33, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001214
127.0.0.1, 2018-10-26 14:49:33, GET, /init/default/index, HTTP/1.1, 200, 0.031461
127.0.0.1, 2018-10-26 14:49:33, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000472
127.0.0.1, 2018-10-26 14:50:01, GET, /init/default/index, HTTP/1.1, 200, 0.039335
127.0.0.1, 2018-10-26 14:50:01, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001157
127.0.0.1, 2018-10-26 14:50:01, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.002306
127.0.0.1, 2018-10-26 14:50:07, GET, /init/default/index, HTTP/1.1, 200, 0.074393
127.0.0.1, 2018-10-26 14:50:07, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000463
127.0.0.1, 2018-10-26 14:50:07, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001221
127.0.0.1, 2018-10-26 14:51:32, GET, /init/default/index, HTTP/1.1, 200, 0.038964
127.0.0.1, 2018-10-26 14:51:32, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000549
127.0.0.1, 2018-10-26 14:51:32, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001634
127.0.0.1, 2018-10-26 14:51:33, GET, /init/default/index, HTTP/1.1, 200, 0.031632
127.0.0.1, 2018-10-26 14:51:33, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.001035
127.0.0.1, 2018-10-26 14:51:34, GET, /init/default/index, HTTP/1.1, 200, 0.030970
127.0.0.1, 2018-10-26 14:51:34, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000705
127.0.0.1, 2018-10-26 14:51:35, GET, /init/default/index, HTTP/1.1, 200, 0.037256
127.0.0.1, 2018-10-26 14:51:35, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000528
127.0.0.1, 2018-10-26 14:51:36, GET, /init/default/index, HTTP/1.1, 200, 0.032304
127.0.0.1, 2018-10-26 14:51:36, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000501
127.0.0.1, 2018-10-26 14:52:01, GET, /init/default/index, HTTP/1.1, 200, 0.034132
127.0.0.1, 2018-10-26 14:52:01, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000583
127.0.0.1, 2018-10-26 14:53:41, GET, /admin/default/site, HTTP/1.1, 200, 0.266805
127.0.0.1, 2018-10-26 14:53:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000395
127.0.0.1, 2018-10-26 14:53:48, GET, /init/default/index, HTTP/1.1, 200, 0.064617
127.0.0.1, 2018-10-26 14:59:27, GET, /admin/default/design/init, HTTP/1.1, 200, 0.186525
127.0.0.1, 2018-10-26 14:59:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000254
127.0.0.1, 2018-10-26 14:59:33, GET, /init/default/index, HTTP/1.1, 200, 0.033990
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/default/edit/init/views/layout.html, HTTP/1.1, 200, 0.083439
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.018592
